ID,Year,Month,Male,Female,Total
202002,2020,2,1835,1241,3076
202003,2020,3,1062,886,1948
202006,2020,6,9,3,12
202007,2020,7,5400,4352,9752
202008,2020,8,10599,9213,19812
202009,2020,9,5838,4603,10441
202010,2020,10,3816,2602,6418
202011,2020,11,371,214,585
202012,2020,12,55,44,99
202101,2021,1,45,15,60
202102,2021,2,10,4,14
202103,2021,3,105,89,194
202104,2021,4,486,538,1024
202105,2021,5,2155,2140,4295
202106,2021,6,7809,7015,14824
202107,2021,7,16499,17464,33963
202108,2021,8,21313,22262,43575
202109,2021,9,18727,18735,37463
202110,2021,10,16241,14929,31170
202111,2021,11,4857,4237,9094
202112,2021,12,678,515,1193
202201,2022,1,917,700,1617
202202,2022,2,1166,868,2034
202203,2022,3,3896,3493,7389
202204,2022,4,15639,18644,34283
202205,2022,5,22796,25458,48254
202206,2022,6,28175,29837,58012
202207,2022,7,31151,36223,67374
202208,2022,8,40301,45541,85842
202209,2022,9,30514,35681,66196
202210,2022,10,24511,26845,51356
202211,2022,11,6071,5212,11283
202212,2022,12,2641,2041,4683
202301,2023,1,1228,800,2028
202302,2023,2,1624,1231,2856
202304,2023,4,10923,13253,24176
